,Weighted_average
placed,0.029824880231596455
places,0.006476516150952246
platform,0.04466978270857966
plus,0.011406427815301205
point,0.026989206084191593
pointed,0.012241088883778665
pointer,0.07402097877995271
pointers,0.07494952184448349
points,0.017275288043430363
port,0.012845754611296679
portability,0.023491919640749086
portable,0.07863105585748967
portions,0.014782108167751513
potential,0.012864204388000764
precedence,0.02081117745152547
preexisting,0.01766609095463831
pretend,0.03322259136212625
primitive,0.10966169255146292
prints,0.024223450334760727
priority,0.015191077822041859
processed,0.00964579395854415
program,0.0973848669531242
programming,0.0115411971235778
programs,0.09431068763792731
proper,0.020475845035934397
provided,0.01596986980457423
public,0.1482604567511375
publicly,0.012368339822002961
put,0.0115411971235778
reduces,0.0115411971235778
refer,0.06119732691711634
reference,0.07372444002799639
references,0.03356328348752439
referred,0.01532281819129093
referring,0.009714394943264629
related,0.010167459782083133
relieving,0.011764859175008784
remains,0.009757993733675821
removed,0.018915712651964203
representation,0.013407366828505525
requires,0.01454701623152359
reserve,0.01105153936335148
reserved,0.540314151737229
reside,0.027339021660189512
resources,0.024881837980271222
respond,0.013684609429839725
restrictions,0.026801118966572824
return,0.10934721478153588
returns,0.019140987544010692
rewrite,0.009564798770083007
rights,0.540314151737229
robust,0.03258105971616253
run,0.013295946424775346
running,0.013684609429839725
runs,0.01469157344032074
say,0.016663746197340266
searches,0.011521547274831628
second,0.014260925385368812
section,0.035904780699120904
sections,0.01105153936335148
secure,0.02614431341867874
semantics,0.05465627333245713
sends,0.01105773942690106
serve,0.013326011549672757
set,0.024591401215016503
several,0.013170609939617517
shallow,0.012855966785751426
shows,0.029424001946267396
signed,0.00595025545566322
similar,0.04315872397174184
simple,0.03659253993956482
simply,0.02536521715860886
size,0.007808776057648544
sizes,0.012890899725460092
sockets,0.03322154183573174
software,0.013326011549672757
source,0.051508747091408014
space,0.010320625727291905
specific,0.013541460981899778
specifically,0.016085937437024845
specified,0.012890899725460092
square,0.007808776057648544
stack,0.05582642975830186
stale,0.010799548126656924
standard,0.011298372395051336
start,0.033205042081917185
state,0.02690073520786692
statement,0.020475845035934397
statements,0.05898685963966842
static,0.03878773970469884
stop,0.02565016578775716
stored,0.00458979592354818
storing,0.012864204388000764
string,0.16515576208293564
strings,0.07132878313614184
structure,0.03696044077259263
style,0.03219262591499483
subclass,0.017195444729380636
super,0.023241201032441688
superclass,0.018143405180688854
suspend,0.02610159433796486
symbol,0.028650665387711553
syntax,0.007808776057648544
system,0.1282995110442932
systems,0.013279835878423818
table,0.013245324577818114
tag,0.039829641127897705
takes,0.013794728512651889
task,0.025607693600517536
tedious,0.011764859175008784
tells,0.01659691639699298
ten,0.01578991027017479
terminates,0.018205884130857282
test,0.020654205510447915
text,0.01582177624938063
thereby,0.011764859175008784
therefore,0.038851922271030896
things,0.008685484072019948
think,0.014318725865914293
thread,0.009757993733675821
threads,0.051399823209057185
three,0.01574561989086302
time,0.020252098082785663
together,0.010167459782083133
translated,0.0193354628869572
translates,0.01371259774213322
treated,0.015295163377735871
trivial,0.01467527184017694
true,0.05961850786126926
try,0.01105153936335148
two,0.0830205984442775
type,0.06347140525440122
types,0.09622193763884107
undefined,0.015171142129556463
unit,0.02134046395089057
unlike,0.03082355437818189
unnecessarily,0.01654712707879597
use,0.0976727990554869
used,0.058908245756899014
useful,0.015660482409256347
uses,0.016711272979734716
using,0.042183372689824396
value,0.06580401576405011
values,0.010504722853353163
variable,0.02327934117067889
variables,0.057776801020340905
vector,0.00595025545566322
version,0.032771643453407925
versions,0.013295946424775346
view,0.018143405180688854
virtually,0.013295946424775346
visible,0.012368339822002961
void,0.09390911590434507
way,0.02433635967298113
web,0.030707026559736585
well,0.012845754611296679
wide,0.030707026559736585
width,0.029070765295433395
within,0.03251689456766481
world,0.030707026559736585
write,0.02994259719366881
written,0.020039492542781017
www,0.04917735532626491
yet,0.031199694678874946
